NAME,RELEASE-DATE,PRICE
Nike ACG Izy,"JANUARY 31, 2025",Retail Price: $130
Nike Air Tech Challenge II,"JANUARY 31, 2025",Retail Price: $150
Travis Scott x Nike Nike Zoom Field Jaxx,"JANUARY 31, 2025",Retail Price: $170
adidas Fear Of God Athletics Trainer,"JANUARY 31, 2025",Retail Price: $250
adidas Fear Of God Athletics Trainer,"JANUARY 31, 2025",Retail Price: $250
"adidas Gazelle ""Arsenal""","JANUARY 31, 2025",Retail Price: $110
"Nike ZoomX VaporFly 3 ""Ekiden""",JANUARY 2025,Retail Price: $260
adidas Gazelle ADV,JANUARY 2025,Retail Price: $N/A
Salehe Bembury x New Balance 1500 Made In UK,JANUARY 2025,Retail Price: $275
"Nike Air Max 1 ""Valentine's Day""","FEBRUARY 01, 2025",Retail Price: $160
"Nike Book 1 ""Flagstaff""","FEBRUARY 01, 2025",Retail Price: $140
Nike Ja 2,"FEBRUARY 01, 2025",Retail Price: $120
Nike Ja 2,"FEBRUARY 01, 2025",Retail Price: $97
"Nike KD 17 ""Slim Reaper""","FEBRUARY 01, 2025",Retail Price: $150
Nike Pegasus Wave,"FEBRUARY 01, 2025",Retail Price: $160
Nike Sabrina 2,"FEBRUARY 01, 2025",Retail Price: $130
Nike Sabrina 2,"FEBRUARY 01, 2025",Retail Price: $100
adidas Anthony Edwards 1 Low,"FEBRUARY 01, 2025",Retail Price: $110
adidas Anthony Edwards 1 Low,"FEBRUARY 01, 2025",Retail Price: $90
adidas Crazy 8 Low,"FEBRUARY 01, 2025",Retail Price: $120
"JJJJound x adidas Superstar ""Made In Japan""","FEBRUARY 01, 2025",Retail Price: $250
JJJJound x adidas Superstar Made in Germany,"FEBRUARY 01, 2025",Retail Price: $250
"Teenage Mutant Ninja Turtles x Puma MB.01 ""Baxter Stockman""","FEBRUARY 01, 2025",Retail Price: $135
Nike Air Pegasus 2005,"FEBRUARY 02, 2025",Retail Price: $150
